Period,Region,Homeless Adults,Male,Female,Ages18_24,Ages25_44,Ages45_64,Ages65Up,PEA,STA,TEA,Other,TotalFamilies,DependentChild
01-07-2022,North-West,84,57,27,8,53,20,3,37,36,11,0,11,22
01-07-2022,South-East,250,181,69,44,142,54,10,79,171,0,0,27,46
01-07-2022,South-West,585,394,191,72,329,169,15,369,220,0,0,74,1452
01-07-2022,West,293,163,130,52,147,83,11,184,109,0,0,86,191
01-08-2022,Dublin,5326,3427,1899,943,2843,1459,81,3287,2193,36,0,1067,2406
01-08-2022,Mid-East,401,258,143,65,199,118,19,235,158,4,4,77,142
01-08-2022,Midlands,131,66,65,19,82,28,2,92,0,39,0,35,59
01-08-2022,Mid-West,391,245,146,55,211,112,13,119,242,36,0,85,158
01-08-2022,North-East,108,72,36,17,61,24,6,39,69,4,0,16,38
01-08-2022,North-West,89,56,33,11,55,18,5,42,35,12,0,11,22
01-08-2022,South-East,252,175,77,39,148,54,11,83,169,0,0,26,44
01-08-2022,South-West,573,383,190,69,329,158,17,353,223,0,0,74,146
01-08-2022,West,314,172,142,56,150,98,10,194,119,0,1,92,205
01-09-2022,Dublin,5356,3427,1929,931,2865,1478,82,3235,2257,36,0,1081,2429
01-09-2022,Mid-East,421,273,148,73,200,128,20,251,162,4,4,77,152
01-09-2022,Midlands,141,71,70,17,93,28,3,101,0,40,0,39,69
01-09-2022,Mid-West,387,226,161,54,217,105,11,121,236,39,0,91,180
01-09-2022,North-East,119,74,45,17,71,24,7,65,51,3,0,25,61
01-09-2022,North-West,110,66,44,15,67,22,6,59,38,13,0,16,39
01-09-2022,South-East,231,162,69,32,139,49,11,67,164,0,0,25,42
01-09-2022,South-West,565,368,197,69,321,160,15,348,219,0,0,83,161
01-09-2022,West,303,165,138,55,143,94,11,1081,565,1815,2429,95,209
01-10-2022,Dublin,5558,3526,2.03,959,2975,1542,82,3149,2371,38,0,1120,2529
01-10-2022,Mid-East,428,269,159,76,203,129,20,265,156,3,4,85,158
01-10-2022,Midlands,147,66,81,24,89,31,3,107,0,40,0,44,77
01-10-2022,Mid-West,425,253,172,62,236,115,12,139,257,44,0,98,194
01-10-2022,North-East,119,78,41,18,68,27,6,43,73,3,0,27,60
01-10-2022,North-West,101,65,36,14,66,16,5,57,32,12,0,17,39
01-10-2022,South-East,224,158,66,35,134,47,8,63,162,0,0,20,39
01-10-2022,South-West,592,387,205,69,335,173,15,374,224,0,0,89,164
01-10-2022,West,323,172,151,61,152,99,11,211,112,0,0,101,220
01-11-2022,Dublin,5655,3593,2062,980,3011,1571,93,3255,2363,37,0,1134,2549
01-11-2022,Mid-East,428,269,159,76,206,125,21,253,169,3,3,88,163
01-11-2022,Midlands,144,69,75,26,83,32,3,106,0,36,2,41,72
01-11-2022,Mid-West,425,255,170,65,240,109,11,137,260,35,0,99,189
01-11-2022,North-East,139,89,50,29,74,30,6,55,82,2,0,29,66
01-11-2022,North-West,104,68,36,14,62,24,4,56,36,12,0,15,34
01-11-2022,South-East,228,166,62,42,130,49,7,61,166,0,2,17,30
01-11-2022,South-West,595,386,209,76,320,184,15,373,226,0,0,89,166
01-11-2022,West,330,175,155,63,162,96,9,210,120,0,0,104,225
01-12-2022,Dublin,5793,3689,2104,1010,3099,1595,89,3381,2377,35,0,1148,2583
01-12-2022,Mid-East,441,286,155,73,216,130,22,244,196,3,0,83,148
01-12-2022,Midlands,153,76,77,26,89,34,4,108,0,43,2,37,67
01-12-2022,Mid-West,419,258,161,61,246,101,11,116,269,55,0,90,167
01-12-2022,North-East,148,93,55,24,83,34,7,70,77,2,0,31,65
01-12-2022,North-West,114,73,41,17,67,26,4,63,35,16,0,12,27
01-12-2022,South-East,231,165,66,36,131,57,7,57,176,0,0,14,24
01-12-2022,South-West,564,372,192,77,299,174,14,353,212,0,0,79,148
01-12-2022,West,327,174,153,63,148,107,9,205,122,0,0,100,213
